,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),I,II,III,IV,V,"Temperature, K","Viscosity, cP",isomer_smiles#1,isomer_smiles#2,isomer_smiles#3,"VdWVolume, A^3#1","VdWVolume, A^3#2","VdWVolume, A^3#3",NumHeteroatoms,RingCount,InertialShapeFactor,SpherocityIndex,Metal_frac_gen,Li,C,N,O,F,Mg,Al,P,S,Cl,K,Cr,Fe,Co,Cu,Zn,Br,ind_syst
28,1-Ethyl-3-methylimidazolium chloride,SUCCINIMIDE,0,0.5,0.5,0,0,0,1,0,0,313.2,4.082609306,CCN1C=C[N+](=C1)C.[Cl-],C1CC(=O)NC1=O,,-10.82284234,6.758105104,0,3.5,1,0.005465767,0.291612157,0,0,5,1.5,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,14
30,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,303.15,6.573959458,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.857,0,0.004418821,0.494510727,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0,0,0,0.143,21
31,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,313.15,5.80121162,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.857,0,0.004418821,0.494510727,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0,0,0,0.143,21
32,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,323.15,5.105945474,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.857,0,0.004418821,0.494510727,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0,0,0,0.143,21
33,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,333.15,4.489759334,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.857,0,0.004418821,0.494510727,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0,0,0,0.143,21
34,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,343.15,3.947390149,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.857,0,0.004418821,0.494510727,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0,0,0,0.143,21
35,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,353.15,3.446807893,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.857,0,0.004418821,0.494510727,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0,0,0,0.143,21
37,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,303.15,6.484787896,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.833,0,0.004191984,0.477027347,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0,0,0,0.167,21
38,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,313.15,5.704448919,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.833,0,0.004191984,0.477027347,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0,0,0,0.167,21
39,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,323.15,5.021904886,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.833,0,0.004191984,0.477027347,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0,0,0,0.167,21
40,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,333.15,4.427238977,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.833,0,0.004191984,0.477027347,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0,0,0,0.167,21
41,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,343.15,3.881563798,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.833,0,0.004191984,0.477027347,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0,0,0,0.167,21
42,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,353.15,3.391147046,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.833,0,0.004191984,0.477027347,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0,0,0,0.167,21
44,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,303.15,6.467698726,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.8,0,0.003913177,0.45755287,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,21
45,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,313.15,5.692721527,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.8,0,0.003913177,0.45755287,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,21
46,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,323.15,4.995860009,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.8,0,0.003913177,0.45755287,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,21
47,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,333.15,4.377014093,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.8,0,0.003913177,0.45755287,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,21
48,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,343.15,3.819907717,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.8,0,0.003913177,0.45755287,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,21
49,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,353.15,3.339321978,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.8,0,0.003913177,0.45755287,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,21
50,ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,303.15,5.719294866,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,,-11.42331607,-21.38094745,0,3,1,0.00177595,0.664240623,0,0,4.5,2,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,29
51,ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,313.15,5.03506771,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,,-11.42331607,-21.38094745,0,3,1,0.00177595,0.664240623,0,0,4.5,2,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,29
52,ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,323.15,4.419563238,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,,-11.42331607,-21.38094745,0,3,1,0.00177595,0.664240623,0,0,4.5,2,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,29
53,ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,333.15,3.839022113,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,,-11.42331607,-21.38094745,0,3,1,0.00177595,0.664240623,0,0,4.5,2,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,29
54,ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,343.15,3.32251486,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,,-11.42331607,-21.38094745,0,3,1,0.00177595,0.664240623,0,0,4.5,2,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,29
55,ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,353.15,2.674838067,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,,-11.42331607,-21.38094745,0,3,1,0.00177595,0.664240623,0,0,4.5,2,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,29
56,ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,363.15,2.124653885,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,,-11.42331607,-21.38094745,0,3,1,0.00177595,0.664240623,0,0,4.5,2,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,29
57,ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,303.15,5.817051634,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.5,0.75,0.003023984,0.672429027,0,0,4,1.75,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,31
58,ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,313.15,5.242751801,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.5,0.75,0.003023984,0.672429027,0,0,4,1.75,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,31
59,ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,323.15,4.593097605,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.5,0.75,0.003023984,0.672429027,0,0,4,1.75,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,31
60,ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,333.15,4.059062748,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.5,0.75,0.003023984,0.672429027,0,0,4,1.75,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,31
61,ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,343.15,3.577109553,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.5,0.75,0.003023984,0.672429027,0,0,4,1.75,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,31
62,ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,353.15,3.248046202,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.5,0.75,0.003023984,0.672429027,0,0,4,1.75,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,31
63,ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,363.15,2.872434057,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.5,0.75,0.003023984,0.672429027,0,0,4,1.75,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,31
64,ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,303.15,1.640936579,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.666,0.667,0.002447286,0.668830923,0,0,4.332,1.667,0.666,0,0,0,0,0,0.333,0,0,0,0,0,0,0,31
65,ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,313.15,0.837247525,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.666,0.667,0.002447286,0.668830923,0,0,4.332,1.667,0.666,0,0,0,0,0,0.333,0,0,0,0,0,0,0,31
67,ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,333.15,-0.430782916,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.666,0.667,0.002447286,0.668830923,0,0,4.332,1.667,0.666,0,0,0,0,0,0.333,0,0,0,0,0,0,0,31
68,ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,343.15,-1.514127733,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.666,0.667,0.002447286,0.668830923,0,0,4.332,1.667,0.666,0,0,0,0,0,0.333,0,0,0,0,0,0,0,31
69,ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,353.15,-1.897119985,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.666,0.667,0.002447286,0.668830923,0,0,4.332,1.667,0.666,0,0,0,0,0,0.333,0,0,0,0,0,0,0,31
70,ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,363.15,-2.040220829,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.666,0.667,0.002447286,0.668830923,0,0,4.332,1.667,0.666,0,0,0,0,0,0.333,0,0,0,0,0,0,0,31
71,ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,303.15,1.91839212,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.8,0.6,0.002120471,0.66684968,0,0,4.6,1.6,0.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,31
72,ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,313.15,1.62924054,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.8,0.6,0.002120471,0.66684968,0,0,4.6,1.6,0.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,31
73,ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,323.15,1.25846099,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.8,0.6,0.002120471,0.66684968,0,0,4.6,1.6,0.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,31
74,ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,333.15,0.207014169,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.8,0.6,0.002120471,0.66684968,0,0,4.6,1.6,0.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,31
75,ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,343.15,-0.248461359,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.8,0.6,0.002120471,0.66684968,0,0,4.6,1.6,0.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,31
76,ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,353.15,-0.579818495,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.8,0.6,0.002120471,0.66684968,0,0,4.6,1.6,0.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,31
77,ACETYLCHOLINE CHLORIDE,imidazole,0,0.4,0.6,0,0,0,1,0,0,363.15,-1.427116356,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,1.8,0.6,0.002120471,0.66684968,0,0,4.6,1.6,0.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,31
78,CHOLINE CHLORIDE,LEVULINIC ACID,0,0.25,0.75,0,0,0,1,0,0,293.15,4.899554746,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O,,-22.68236862,13.19763138,0,2.25,0,0.005013387,0.396982299,0,0,5,0.25,2.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,83
79,CHOLINE CHLORIDE,LEVULINIC ACID,0,0.25,0.75,0,0,0,1,0,0,303.15,4.371218436,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O,,-22.68236862,13.19763138,0,2.25,0,0.005013387,0.396982299,0,0,5,0.25,2.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,83
80,CHOLINE CHLORIDE,LEVULINIC ACID,0,0.25,0.75,0,0,0,1,0,0,313.15,3.866188469,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O,,-22.68236862,13.19763138,0,2.25,0,0.005013387,0.396982299,0,0,5,0.25,2.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,83
81,CHOLINE CHLORIDE,LEVULINIC ACID,0,0.25,0.75,0,0,0,1,0,0,323.15,3.443298558,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O,,-22.68236862,13.19763138,0,2.25,0,0.005013387,0.396982299,0,0,5,0.25,2.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,83
83,ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,0,0.25,0.75,0,0,0,1,0,0,293.15,5.103032143,CC(=O)OCC[N+](C)(C)C.[Cl-],CC(=O)CCC(=O)O,,-11.42331607,13.19763138,0,2.25,0,0.003018987,0.522367052,0,0,5.5,0.25,2.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0,30
84,ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,0,0.25,0.75,0,0,0,1,0,0,303.15,4.452950973,CC(=O)OCC[N+](C)(C)C.[Cl-],CC(=O)CCC(=O)O,,-11.42331607,13.19763138,0,2.25,0,0.003018987,0.522367052,0,0,5.5,0.25,2.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0,30
85,ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,0,0.25,0.75,0,0,0,1,0,0,313.15,3.844814256,CC(=O)OCC[N+](C)(C)C.[Cl-],CC(=O)CCC(=O)O,,-11.42331607,13.19763138,0,2.25,0,0.003018987,0.522367052,0,0,5.5,0.25,2.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0,30
86,ACETYLCHOLINE CHLORIDE,LEVULINIC ACID,0,0.25,0.75,0,0,0,1,0,0,323.15,3.452524009,CC(=O)OCC[N+](C)(C)C.[Cl-],CC(=O)CCC(=O)O,,-11.42331607,13.19763138,0,2.25,0,0.003018987,0.522367052,0,0,5.5,0.25,2.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0,30
