,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),I,II,III,IV,V,"Temperature, K","Density, g/cm^3",isomer_smiles#1,isomer_smiles#2,isomer_smiles#3,"VdWVolume, A^3#1","VdWVolume, A^3#2","VdWVolume, A^3#3",NumHeteroatoms,RingCount,InertialShapeFactor,SpherocityIndex,Metal_frac_gen,Li,C,N,O,F,Al,P,S,Cl,K,Fe,Cu,Zn,Br,ind_syst
10,iron(3+) trichloride,Tetrabutylphosphonium bromide,0,0.4,0.6,0,1,0,0,0,0,293,1.226,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,2.8,0,0.000444866,0.531619661,0.083199621,0,9.6,0,0,0,0,0.6,0,1.2,0,0.4,0,0,0.6,371
11,iron(3+) trichloride,Tetrabutylphosphonium bromide,0,0.4,0.6,0,1,0,0,0,0,303,1.22,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,2.8,0,0.000444866,0.531619661,0.083199621,0,9.6,0,0,0,0,0.6,0,1.2,0,0.4,0,0,0.6,371
12,iron(3+) trichloride,Tetrabutylphosphonium bromide,0,0.4,0.6,0,1,0,0,0,0,313,1.213,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,2.8,0,0.000444866,0.531619661,0.083199621,0,9.6,0,0,0,0,0.6,0,1.2,0,0.4,0,0,0.6,371
13,iron(3+) trichloride,Tetrabutylphosphonium bromide,0,0.4,0.6,0,1,0,0,0,0,323,1.206,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,2.8,0,0.000444866,0.531619661,0.083199621,0,9.6,0,0,0,0,0.6,0,1.2,0,0.4,0,0,0.6,371
14,iron(3+) trichloride,Tetrabutylphosphonium bromide,0,0.4,0.6,0,1,0,0,0,0,333,1.198,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,2.8,0,0.000444866,0.531619661,0.083199621,0,9.6,0,0,0,0,0.6,0,1.2,0,0.4,0,0,0.6,371
15,iron(3+) trichloride,Tetrabutylphosphonium bromide,0,0.4,0.6,0,1,0,0,0,0,343,1.19,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,2.8,0,0.000444866,0.531619661,0.083199621,0,9.6,0,0,0,0,0.6,0,1.2,0,0.4,0,0,0.6,371
16,iron(3+) trichloride,Tetrabutylphosphonium bromide,0,0.4,0.6,0,1,0,0,0,0,353,1.183,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],,55.34707342,12.33242042,0,2.8,0,0.000444866,0.531619661,0.083199621,0,9.6,0,0,0,0,0.6,0,1.2,0,0.4,0,0,0.6,371
17,iron(3+) trichloride,Dodecyltrimethylammonium bromide,0,0.5,0.5,0,1,0,0,0,0,298,1.27,[Cl-].[Cl-].[Cl-].[Fe+3],CCCCCCCCCCCC[N+](C)(C)C.[Br-],,55.34707342,9.692894142,0,3,0,0.000349717,0.618139395,0.118679763,0,7.5,0.5,0,0,0,0,0,1.5,0,0.5,0,0,0.5,369
18,iron(3+) trichloride,Cetrimide,0,0.5,0.5,0,1,0,0,0,0,298,1.23,[Cl-].[Cl-].[Cl-].[Fe+3],CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],,55.34707342,14.97194669,0,3,0,0.000493447,0.427285218,0.112002262,0,8.5,0.5,0,0,0,0,0,1.5,0,0.5,0,0,0.5,367
19,iron(3+) trichloride,Cetrimonium bromide,0,0.5,0.5,0,1,0,0,0,0,298,1.19,[Cl-].[Cl-].[Cl-].[Fe+3],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],,55.34707342,20.25099925,0,3,0,0.000313288,0.5903414,0.106036152,0,9.5,0.5,0,0,0,0,0,1.5,0,0.5,0,0,0.5,368
20,iron(3+) trichloride,Octadecyltrimethylammonium bromide,0,0.5,0.5,0,1,0,0,0,0,298,1.15,[Cl-].[Cl-].[Cl-].[Fe+3],CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],,55.34707342,25.5300518,0,3,0,0.000342967,0.516730526,0.1006735,0,10.5,0.5,0,0,0,0,0,1.5,0,0.5,0,0,0.5,370
21,Aluminium chloride anhydrous,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,1.0007,[Al+3].[Cl-].[Cl-].[Cl-],CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],,94.13945951,47.41099925,0,3.334,0.333,0.000455532,0.633443432,0.09333824,0,6.327,0.333,0,0,0.667,0,0,2.334,0,0,0,0,0,30
22,Cuprymina,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,1.0039,[Cl-].[Cl-].[Cu+2],CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],,36.89804895,47.41099925,0,2.667,0.333,0.000613353,0.55342334,0.218981678,0,6.327,0.333,0,0,0,0,0,1.667,0,0,0.667,0,0,106
23,iron(3+) trichloride,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,1.0001,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],,55.34707342,47.41099925,0,3.334,0.333,0.000395157,0.636495774,0.175645983,0,6.327,0.333,0,0,0,0,0,2.334,0,0.667,0,0,0,366
24,EINECS 215-689-5,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,1.0043,[Cl-].[Cl-].[Cl-].[Cl-].[Sn+4],CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],,73.7960979,47.41099925,0,4.001,0.333,0.000334723,0.58439636,0.285184972,0,6.327,0.333,0,0,0,0,0,3.001,0,0,0,0,0,116
25,zincchloride,Benzyltributylammonium chloride,0,0.667,0.333,0,1,0,0,0,0,298,1.0014,[Cl-].[Cl-].[Zn+2],CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],,36.89804895,47.41099925,0,2.667,0.333,0.000612164,0.55208307,0.223913311,0,6.327,0.333,0,0,0,0,0,1.667,0,0,0,0.667,0,401
26,1-Ethyl-3-methylimidazolium chloride,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,313.2,1.16822,CCN1C=C[N+](=C1)C.[Cl-],C1=NC=NN1,,-10.82284234,-21.38094745,0,3,1,0.006148582,0.29552313,0,0,4,2.5,0,0,0,0,0,0.5,0,0,0,0,0,3
27,1-Ethyl-3-methylimidazolium chloride,1H-Benzotriazole,0,0.5,0.5,0,0,0,1,0,0,313.2,1.4666,CCN1C=C[N+](=C1)C.[Cl-],C1=CC2=NNN=C2C=C1,,-10.82284234,4.377157657,0,3,1.5,0.004627416,0.311395298,0,0,6,2.5,0,0,0,0,0,0.5,0,0,0,0,0,4
28,1-Ethyl-3-methylimidazolium chloride,1H-Tetrazole,0,0.5,0.5,0,0,0,1,0,0,313.2,1.16062,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=N1,,-10.82284234,-21.50401478,0,3.5,1,0.006176809,0.294914881,0,0,3.5,3,0,0,0,0,0,0.5,0,0,0,0,0,5
29,1-Ethyl-3-methylimidazolium chloride,BENZIMIDAZOLE,0,0.5,0.5,0,0,0,1,0,0,313.2,1.1985,CCN1C=C[N+](=C1)C.[Cl-],C1=CC=C2C(=C1)NC=N2,,-10.82284234,18.97668393,0,2.5,1.5,0.004715179,0.306467763,0,0,6.5,2,0,0,0,0,0,0.5,0,0,0,0,0,6
30,1-Ethyl-3-methylimidazolium chloride,imidazole,0,0.5,0.5,0,0,0,1,0,0,313.2,1.14956,CCN1C=C[N+](=C1)C.[Cl-],C1=CN=CN1,,-10.82284234,-6.781421172,0,2.5,1,0.006081655,0.297309988,0,0,4.5,2,0,0,0,0,0,0.5,0,0,0,0,0,8
31,1-Ethyl-3-methylimidazolium chloride,phenol,0,0.5,0.5,0,0,0,1,0,0,313.2,1.11071,CCN1C=C[N+](=C1)C.[Cl-],C1=CC=C(C=C1)O,,-10.82284234,31.03715766,0,2,1,0.005304429,0.300412743,0,0,6,1,0.5,0,0,0,0,0.5,0,0,0,0,0,9
32,1-Ethyl-3-methylimidazolium chloride,SUCCINIMIDE,0,0.5,0.5,0,0,0,1,0,0,313.2,1.12093,CCN1C=C[N+](=C1)C.[Cl-],C1CC(=O)NC1=O,,-10.82284234,6.758105104,0,3,1,0.005465767,0.291612157,0,0,5,1.5,1,0,0,0,0,0.5,0,0,0,0,0,7
33,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,293.15,1.2982,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.143,0.143,0.004418821,0.494510727,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0.143,10
34,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,303.15,1.2917,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.143,0.143,0.004418821,0.494510727,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0.143,10
35,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,313.15,1.2851,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.143,0.143,0.004418821,0.494510727,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0.143,10
36,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,323.15,1.2786,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.143,0.143,0.004418821,0.494510727,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0.143,10
37,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,333.15,1.272,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.143,0.143,0.004418821,0.494510727,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0.143,10
38,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,343.15,1.2654,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.143,0.143,0.004418821,0.494510727,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0.143,10
39,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.143,0.857,0,0,0,1,0,0,353.15,1.2587,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.143,0.143,0.004418821,0.494510727,0,0,3.715,0.286,2.714,0,0,0,0,0,0,0,0,0,0.143,10
40,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,293.15,1.2983,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.167,0.167,0.004191984,0.477027347,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0.167,10
41,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,303.15,1.2918,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.167,0.167,0.004191984,0.477027347,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0.167,10
42,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,313.15,1.2854,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.167,0.167,0.004191984,0.477027347,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0.167,10
43,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,323.15,1.2788,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.167,0.167,0.004191984,0.477027347,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0.167,10
44,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,333.15,1.2725,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.167,0.167,0.004191984,0.477027347,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0.167,10
45,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,343.15,1.2656,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.167,0.167,0.004191984,0.477027347,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0.167,10
46,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.167,0.833,0,0,0,1,0,0,353.15,1.2589,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.167,0.167,0.004191984,0.477027347,0,0,3.835,0.334,2.666,0,0,0,0,0,0,0,0,0,0.167,10
47,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,293.15,1.3085,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.2,0.2,0.003913177,0.45755287,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0.2,10
48,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,303.15,1.302,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.2,0.2,0.003913177,0.45755287,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0.2,10
49,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,313.15,1.2955,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.2,0.2,0.003913177,0.45755287,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0.2,10
50,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,323.15,1.289,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.2,0.2,0.003913177,0.45755287,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0.2,10
51,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,333.15,1.2823,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.2,0.2,0.003913177,0.45755287,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0.2,10
52,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,343.15,1.2757,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.2,0.2,0.003913177,0.45755287,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0.2,10
53,"1-hydroxyethyl-1,4-dimethyl-piperazinium bromide",glycerol,0,0.2,0.8,0,0,0,1,0,0,353.15,1.269,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,,-24.54378979,-16.00142117,0,3.2,0.2,0.003913177,0.45755287,0,0,4,0.4,2.6,0,0,0,0,0,0,0,0,0,0.2,10
54,ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,303.15,1.1293,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,,-11.42331607,-21.38094745,0,3.5,0.5,0.00177595,0.664240623,0,0,4.5,2,1,0,0,0,0,0.5,0,0,0,0,0,18
55,ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,313.15,1.1249,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,,-11.42331607,-21.38094745,0,3.5,0.5,0.00177595,0.664240623,0,0,4.5,2,1,0,0,0,0,0.5,0,0,0,0,0,18
56,ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,323.15,1.1193,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,,-11.42331607,-21.38094745,0,3.5,0.5,0.00177595,0.664240623,0,0,4.5,2,1,0,0,0,0,0.5,0,0,0,0,0,18
57,ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,333.15,1.1133,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,,-11.42331607,-21.38094745,0,3.5,0.5,0.00177595,0.664240623,0,0,4.5,2,1,0,0,0,0,0.5,0,0,0,0,0,18
58,ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,343.15,1.1081,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,,-11.42331607,-21.38094745,0,3.5,0.5,0.00177595,0.664240623,0,0,4.5,2,1,0,0,0,0,0.5,0,0,0,0,0,18
59,ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,353.15,1.1037,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,,-11.42331607,-21.38094745,0,3.5,0.5,0.00177595,0.664240623,0,0,4.5,2,1,0,0,0,0,0.5,0,0,0,0,0,18
60,ACETYLCHOLINE CHLORIDE,"1,2,4-TRIAZOLE",0,0.5,0.5,0,0,0,1,0,0,363.15,1.1002,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,,-11.42331607,-21.38094745,0,3.5,0.5,0.00177595,0.664240623,0,0,4.5,2,1,0,0,0,0,0.5,0,0,0,0,0,18
61,ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,303.15,1.1557,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,2.5,0.75,0.003023984,0.672429027,0,0,4,1.75,0.5,0,0,0,0,0.25,0,0,0,0,0,21
62,ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,313.15,1.1517,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,2.5,0.75,0.003023984,0.672429027,0,0,4,1.75,0.5,0,0,0,0,0.25,0,0,0,0,0,21
63,ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,323.15,1.1456,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,2.5,0.75,0.003023984,0.672429027,0,0,4,1.75,0.5,0,0,0,0,0.25,0,0,0,0,0,21
64,ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,333.15,1.1421,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,2.5,0.75,0.003023984,0.672429027,0,0,4,1.75,0.5,0,0,0,0,0.25,0,0,0,0,0,21
65,ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,343.15,1.1384,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,2.5,0.75,0.003023984,0.672429027,0,0,4,1.75,0.5,0,0,0,0,0.25,0,0,0,0,0,21
66,ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,353.15,1.1326,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,2.5,0.75,0.003023984,0.672429027,0,0,4,1.75,0.5,0,0,0,0,0.25,0,0,0,0,0,21
67,ACETYLCHOLINE CHLORIDE,imidazole,0,0.25,0.75,0,0,0,1,0,0,363.15,1.1285,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,2.5,0.75,0.003023984,0.672429027,0,0,4,1.75,0.5,0,0,0,0,0.25,0,0,0,0,0,21
68,ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,303.15,1.1206,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,2.666,0.667,0.002447286,0.668830923,0,0,4.332,1.667,0.666,0,0,0,0,0.333,0,0,0,0,0,21
69,ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,313.15,1.1141,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,2.666,0.667,0.002447286,0.668830923,0,0,4.332,1.667,0.666,0,0,0,0,0.333,0,0,0,0,0,21
70,ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,323.15,1.1092,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,2.666,0.667,0.002447286,0.668830923,0,0,4.332,1.667,0.666,0,0,0,0,0.333,0,0,0,0,0,21
71,ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,333.15,1.1026,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,2.666,0.667,0.002447286,0.668830923,0,0,4.332,1.667,0.666,0,0,0,0,0.333,0,0,0,0,0,21
72,ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,343.15,1.0987,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,2.666,0.667,0.002447286,0.668830923,0,0,4.332,1.667,0.666,0,0,0,0,0.333,0,0,0,0,0,21
73,ACETYLCHOLINE CHLORIDE,imidazole,0,0.333,0.667,0,0,0,1,0,0,353.15,1.0935,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,,-11.42331607,-6.781421172,0,2.666,0.667,0.002447286,0.668830923,0,0,4.332,1.667,0.666,0,0,0,0,0.333,0,0,0,0,0,21
